Epoch,Training Loss,Train Accuracy,Validation Accuracy
1,1.085196162886022,71.14,82.31
2,0.4079620449629891,87.294,84.04
3,0.23691508615070292,92.734,85.57
4,0.1359012024882047,96.09,85.94
5,0.07424996602003608,98.204,86.35
6,0.040676246106010075,99.216,86.6
7,0.022256778950905404,99.674,86.54
8,0.011745925934668488,99.886,86.77
9,0.007848977891351942,99.938,86.93
10,0.005425199366840379,99.962,86.85
